species;order;family;temperature;int_rate;int_rate_se;sample_size;reference;doi;observations_i;observations_ii;feed_guild;source_dataset;lat;lon;body_length_mm;type_length;source_length
Rhizopertha dominica;Coleoptera;Bostrichidae;34;0.042;;;birch1953;10.2307/1931360;14%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.91;pupae;CABI
Rhizopertha dominica;Coleoptera;Bostrichidae;38.2;0;;;birch1953;10.2307/1931361;14%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.91;pupae;CABI
Rhizopertha dominica;Coleoptera;Bostrichidae;38.6;0;;;birch1953;10.2307/1931362;14%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.91;pupae;CABI
Rhizopertha dominica;Coleoptera;Bostrichidae;18.3;0.015;;;birch1953;10.2307/1931363;11%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.91;pupae;CABI
Rhizopertha dominica;Coleoptera;Bostrichidae;22;0.024857143;;;birch1953;10.2307/1931364;11%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.91;pupae;CABI
Rhizopertha dominica;Coleoptera;Bostrichidae;38.2;0;;;birch1953;10.2307/1931365;11%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.91;pupae;CABI
Rhizopertha dominica;Coleoptera;Bostrichidae;38.6;0;;;birch1953;10.2307/1931366;11%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.91;pupae;CABI
Rhizopertha dominica;Coleoptera;Bostrichidae;22;0.034714286;;;birch1953;10.2307/1931367;10%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.91;pupae;CABI
Rhizopertha dominica;Coleoptera;Bostrichidae;26;0.054714286;;;birch1953;10.2307/1931368;10%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.91;pupae;CABI
Rhizopertha dominica;Coleoptera;Bostrichidae;34;0.037285714;;;birch1953;10.2307/1931369;10%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.91;pupae;CABI
Rhizopertha dominica;Coleoptera;Bostrichidae;36;0;;;birch1953;10.2307/1931370;10%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.91;pupae;CABI
Rhizopertha dominica;Coleoptera;Bostrichidae;38.2;0;;;birch1953;10.2307/1931371;10%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.91;pupae;CABI
Rhizopertha dominica;Coleoptera;Bostrichidae;30;0.045857143;;;birch1953;10.2307/1931372;9%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.91;pupae;CABI
Rhizopertha dominica;Coleoptera;Bostrichidae;34;0;;;birch1953;10.2307/1931373;9%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.91;pupae;CABI
Rhizopertha dominica;Coleoptera;Bostrichidae;36;0;;;birch1953;10.2307/1931374;9%moisture;;stored product pest;frazier2006;-33.88854593;151.1910224;3.91;pupae;CABI
Amitus fuscipennis;Hymenoptera;Platygastridae;15;0.058;;;devis2002;10.1046/j.1439-0418.2002.00591.x;clip cages 3 days leaf;;parasitoid;frazier2006;4.885789081;-74.01337546;0.9;female;http://dx.doi.org/10.1046/j.1439-0418.2002.00710.x
Amitus fuscipennis;Hymenoptera;Platygastridae;20;0.131;;;devis2002;10.1046/j.1439-0418.2002.00591.x;clip cages 3 days leaf;;parasitoid;frazier2006;4.885789081;-74.01337546;0.9;female;http://dx.doi.org/10.1046/j.1439-0418.2002.00710.x
Amitus fuscipennis;Hymenoptera;Platygastridae;25;0.133;;;devis2002;10.1046/j.1439-0418.2002.00591.x;clip cages 3 days leaf;;parasitoid;frazier2006;4.885789081;-74.01337546;0.9;female;http://dx.doi.org/10.1046/j.1439-0418.2002.00710.x
Amitus fuscipennis;Hymenoptera;Platygastridae;30;0.042;;;devis2002;10.1046/j.1439-0418.2002.00591.x;clip cages 3 days leaf;;parasitoid;frazier2006;4.885789081;-74.01337546;0.9;female;http://dx.doi.org/10.1046/j.1439-0418.2002.00710.x
