reference;species;model_name;model_AIC;criterion;observations;decision;;;;;;;;;;;;;;;;;;;
jafarian2016;Eotetranychus frostii;gaussian_1987;-28.93;smaller uncertainty;;choose_condition;;;;;;;;;;;;;;;;;;;
jafarian2016;Eotetranychus frostii;rezende_2019;-32.03;ecological and best fit;high uncertainty;discard;;;;;;;;;;;;;;;;;;;
jandricic2010;Aulacorthum solani;gaussian_1987;-11.91;single converged;;pass;;;;;;;;;;;;;;;;;;;
jaramillo2009;Hypothenemus hampei;deutsch_2008;-29.69;ecological;;choose;;;;;;;;;;;;;;;;;;;
jaramillo2009;Hypothenemus hampei;gaussian_1987;30.66;smaller uncertainty;;discard;;;;;;;;;;;;;;;;;;;
jiang2008;Liposcelis badia;pawar_2018;-58.15;all;;pass;;;;;;;;;;;;;;;;;;;
jiang2016;Anaphothrips obscurus;gaussian_1987;-30.82;smaller uncertainty;;choose_condition;;;;;;;;;;;;;;;;;;;
jiang2016;Anaphothrips obscurus;rezende_2019;-37.32;ecological and best fit;high uncertainty;discard;;;;;;;;;;;;;;;;;;;
kairo1999;Cinara cupressi;gaussian_1987;-25.23;single converged;high uncertainty;discard;;;;;;;;;;;;;;;;;;;
kalyebi2006;Trichogramma bruni;deutsch_2008;-32.61;all;;pass;;;;;;;;;;;;;;;;;;;
kalyebi2006;Trichogramma lutea;pawar_2018;-85.75;all;;pass;;;;;;;;;;;;;;;;;;;
kalyebi2006;Trichogramma mwanzai;pawar_2018;-43.05;all;;pass;;;;;;;;;;;;;;;;;;;
karami2012;Tetranychus turkestani;gaussian_1987;-9.67;single converged;high uncertainty;discard;;;;;;;;;;;;;;;;;;;
khadioli2014a;Chilo partellus;deutsch_2008;-45.91;all;;pass;;;;;;;;;;;;;;;;;;;
khadioli2014b;Busseola fusca;deutsch_2008;-40;ecological;;choose;;;;;;;;;;;;;;;;;;;
khadioli2014b;Busseola fusca;gaussian_1987;-40.82;smaller uncertainty;;discard;;;;;;;;;;;;;;;;;;;
khadioli2014b;Sesamia calamistis;deutsch_2008;-36.58;ecological;quite high uncertainty;choose;;;;;;;;;;;;;;;;;;;
kumar2013;Phenacoccus solenopsis;rezende_2019;-24.1;ecological and best fit;high uncertainty;drop;;;;;;;;;;;;;;;;;;;
kuo2006;Tetraneura nigriabdominalis;gaussian_1987;-18.19;smaller uncertainty and best fit;;choose_condition;;;;;;;;;;;;;;;;;;;
latham2011;Hyalopterus pruni;gaussian_1987;-18.9;smaller uncertainty;;choose_condition;;;;;;;;;;;;;;;;;;;
latham2011;Hyalopterus pruni;rezende_2019;-24.24;ecological and best fit;high uncertainty;discard;;;;;;;;;;;;;;;;;;;
lee2008;Aulacorthum solani;deutsch_2008;-28.82;ecological;;pass;;;;;;;;;;;;;;;;;;;
legaspi2007;Cactoblastis cactorum;deutsch_2008;-57.05;ecological and smaller uncertainty;;pass;;;;;;;;;;;;;;;;;;;
legaspi2011;Singhiella simplex;gaussian_1987;-28.07;single converged;;choose_condition;;;;;;;;;;;;;;;;;;;
li2020;Atractomorpha sinensis;gaussian_1987;-41.85;smaller uncertainty and best fit;;pass;;;;;;;;;;;;;;;;;;;
liao2017;Marasmia exigua;gaussian_1987;-21.4;single converged;;choose_condition;;;;;;;;;;;;;;;;;;;
lin2013;Oligonychus mangifera;pawar_2018;-25.52;all;;pass;;;;;;;;;;;;;;;;;;;
lin2020;Eutetranychus africanus;gaussian_1987;-26.58;single converged;;choose_condition;;;;;;;;;;;;;;;;;;;
liu2000;Diaphorina citri;pawar_2018;-30.23;ecological and smaller uncertainty;;pass;;;;;;;;;;;;;;;;;;;
longstaff1983;Sitophilus oryzae;deutsch_2008;-110.9;ecological;;pass;;;;;;;;;;;;;;;;;;;
lu2016;Opisina arenosella;gaussian_1987;-29.53;smaller uncertainty;quite high uncertainty;choose_condition;;;;;;;;;;;;;;;;;;;
lysyk1998b;Trichomalopsis sarcophagae;deutsch_2008;-101.11;all;;pass;;;;;;;;;;;;;;;;;;;
lysyk2000a;Muscidifurax raptor;deutsch_2008;-115.66;ecological;;pass;;;;;;;;;;;;;;;;;;;
lysyk2000a;Muscidifurax zaraptor;deutsch_2008;-92.01;ecological;;choose;;;;;;;;;;;;;;;;;;;
lysyk2000a;Muscidifurax zaraptor;weibull_1995;-98.84;best fit;;discard;;;;;;;;;;;;;;;;;;;
lysyk2001b;Muscidifurax raptorellus;weibull_1995;-62.75;all;;pass;;;;;;;;;;;;;;;;;;;
madden1986;Dalbulus eliminatus;gaussian_1987;-13.56;single converged;;discard;;;;;;;;;;;;;;;;;;;
madden1986;Dalbulus gelbus;gaussian_1987;-17.9;single converged;;choose_condition;;;;;;;;;;;;;;;;;;;
madden1986;Dalbulus maidis;gaussian_1987;-19.13;single converged;;choose_condition;;;;;;;;;;;;;;;;;;;
